# =============================================================================
# suburb_nsw_freq.csv - Frequency table for suburbs in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

ettamogah,17
ettrick,52
euabalong,64
euabalong_west,29
euberta,47
euchareena,75
eucumbene,40
eucumbene_cove,12
eugowra,368
eulah_creek,20
eumungerie,143
eungai,20
eungai_creek,146
eungai_rail,77
eungella,129
eureka,126
eurobodalla,31
euroka,63
euroley,18
eurongilly,26
eurunderee,43
euston,280
evans_head,1238
evans_plains,38
eveleigh,6
ewingar,24
ewingsdale,280
exeter,363
failford,226
fairfield,6019
fairfield_east,29
fairfield_heights,1065
fairfield_west,2735
fairholme,10
fairlie_grange,7
fairlight,2551
fairy_hill,127
fairy_meadow,2403
falbrook,9
falls_creek,338
far_meadow,35
farley,56
farmborough_chase,4
farmborough_heights,1065
farnham,4
fassifern,212
faulconbridge,1281
fawcetts_plain,5
federal,238
fennell_bay,547
fern_bay,226
fern_hill,74
fernbrook,29
fernleigh,96
fernmount,94
fernside,12
fernvale,58
fiddletown,16
fifield,49
figtree,3137
figtree_heights,110
findon_creek,5
fine_flower_creek,29
fingal_bay,777
fingal_head,225
finley,1191
firefly,72
fishermans_bay,38
fishermans_paradise,175
fishermans_point,5
fishermans_reach,33
fishers_hill,2
fishing_point,411
fitzgeralds_mount,6
fitzgeralds_valley,20
fitzroy_falls,99
five_day_creek,8
five_dock,4638
fladbury,4
flemington,27
fletcher,279
flinders,460
floraville,378
flynns_beach,12
foleys_creek,2
forbes,3183
forbes_creek,2
forbesdale,6
fords_bridge,7
forest_grove,11
forest_hill,408
forest_lodge,400
forest_reefs,96
forestville,2950
forresters_beach,930
forster,5585
forster_keys,81
fosterton,9
fountaindale,20
four_mile_creek,29
foxground,93
frederickton,425
freemans_reach,630
freemans_waterhole,22
freemans_waterholes,2
fremantle,9
french_park,2
frenchs_forest,4546
fridays_creek,5
frogmore,62
fromes_creek,3
fullerton,41
fullerton_cove,385
furracabad,17
gai,599
gala_vale,6
galba,20
galong,135
galore,32
galston,1009
gangat,7
ganmain,317
gannons_creek,8
garah,176
garangula,17
garden_island,6
garden_suburb,537
garema,28
garland,38
garra,14
garryowen,6
gateshead,882
gateshead_west,265
gearys_gap,103
gemalla,11
genaren,3
geneva,153
georges_creek,2
georges_hall,2495
georges_heights,7
georges_plains,68
georgetown,682
georgica,91
geraki,40
gerogery,194
gerogery_west,25
gerringong,1245
gerroa,329
geurie,345
ghinni_ghi,10
ghinni_ghinni,8
ghoolendaadi,3
gibsonvale,3
gidgell,8
gidginbung,34
gil_gil,2
gilead,2
gilgai,228
gilgandra,1418
gilgooma,7
gillenbah,4
gillieston_heights,311
gilmore,89
ginghet,4
gingkin,29
girilambone,81
girral,30
girralong,2
girraween,1201
girvan,78
gladesville,4733
gladstone,192
glanmire,69
glebe,5338
glebe_point,6
glen_alice,32
glen_alpine,1012
glen_davis,51
glen_elgin,25
glen_fernaigh,7
glen_innes,2764
glen_logan,2
glen_martin,24
glen_morrison,13
glen_oak,67
glen_warrin,5
glen_william,44
glenbrook,1592
glencoe,98
glendale,1121
glendale_heights,16
glendenning,1172
glendon,19
glendonbrook,76
glenfield,1959
glenfield_park,974
glengarrie,16
glenhaven,1659
gleniffer,88
glenmore,29
glenmore_park,4049
glennies_creek,36
glenning_valley,388
glenorie,1097
glenquarry,96
glenreagh,262
glenridding,5
glenrock,15
glenroy,188
glenthorne,56
glenugie,54
glenwood,2736
glossodia,787
gloucester,1491
gobarralong,21
gocup,32
godfreys_creek,17
gogeldrie,24
gol_gol,376
golden_beach,243
gollan,26
golspie,59
gongolgon,16
good_forest,16
good_hope,23
goodnight,48
goodooga,92
goodwood_island,23
googong,8
goolgowi,213
goolhi,8
